name,reason,value
"Pan de Manila","missing field: latitude, longitude, city, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)", city="(missing)""
"Crispy King","invalid latitude","latitude="south""
"Jollibee","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Chooks to Go","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Wendy's","invalid latitude","latitude="14.492329008396842,""
"Wendy's","invalid latitude","latitude="14.48450061393285,""
"Dunkin Donut","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Dunkin Donut","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"McDonalds","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Jollibee","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Chooks to Go","missing field: city","city="(missing)""
"Mang Inasal","invalid latitude","latitude="14.445260600581713,""
"Andoks","missing field: latitude, longitude, city, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)", city="(missing)""
"Dunkin Donut","invalid latitude","latitude="14.454181019145652,""
"Dunkin Donut","invalid latitude","latitude="14.47468068530432,""
"Dunkin Donut","invalid latitude","latitude="14.459630397334436,""
"Dunkin Donut","invalid latitude","latitude="14.476016719474803,""
"Dunkin Donut","invalid latitude","latitude="14.480812623733994,""
"Dunkin Donut","invalid latitude","latitude="14.482601139710109,""
"Chowking","invalid latitude","latitude="14.457372965322945,""
"Chowking","invalid latitude","latitude="14.457709003066809,""
"Chowking","invalid latitude","latitude="14.465119601092727,""
"Chowking","invalid latitude","latitude="14.491900092757476,""
"Chowking","invalid latitude","latitude="14.483775096308486,""
"Chowking","invalid latitude","latitude="14.527313737328868,""
"McDonalds","invalid latitude","latitude="14.445016694173495,""
"Red Ribbon","invalid longitude","longitude="9.307655123.307225""
"Angel's Burger","invalid latitude, invalid longitude","latitude="9.306534123.306809", longitude="9.306532723.306814""
"Crispy King","invalid latitude, invalid longitude","latitude="9.298959123.302355", longitude="9.298955123.302296""
"JM Shawarma","invalid latitude, invalid longitude","latitude="9.308646123.307396", longitude="9.308656123.30788""
"Greenwich Pizza","invalid latitude, invalid longitude","latitude="9.305509123.307738", longitude="9.305467123.307718""
"McDonalds","invalid latitude, invalid longitude","latitude="9.299898123.306535", longitude="9.299904123.306511""
"KFC","invalid latitude, invalid longitude","latitude="9.298718123.30613", longitude="9.298804123.303681""
"Chowking","invalid latitude, invalid longitude","latitude="9.308283123.307771", longitude="9.308273123.307774""
"Mang Inasal","invalid latitude, invalid longitude","latitude="9.298652123.303076", longitude="9.298663123.303107""
"Andoks","invalid latitude, invalid longitude","latitude="9.285932123.294191", longitude="9.285902123.294192""
"Chooks to Go","invalid latitude, invalid longitude","latitude="9.320648123.300265", longitude="9.320640123.300273""
"McDonalds","invalid latitude","latitude="14.459181784613296,""
"McDonalds","invalid latitude","latitude="14.382079310449896,""
"McDonalds","invalid latitude","latitude="14.430098721803095,""
"McDonalds","invalid latitude","latitude="14.433161954820504,""
"McDonalds","invalid latitude","latitude="14.411595914560461,""
"McDonalds","invalid latitude","latitude="14.393347697167064,""
"McDonalds","invalid latitude","latitude="14.40579703314067,""
"McDonalds","invalid latitude","latitude="14.399941239655373,""
"McDonalds","invalid latitude","latitude="14.381336089132438,""
"Chowking","invalid latitude","latitude="14.447214045963232,""
"Chowking","invalid latitude","latitude="14.388226275728995,""
"Chowking","invalid latitude","latitude="14.403547334837373,""
"Chowking","missing field: longitude, invalid latitude, invalid longitude","latitude="14.38594306758649,", longitude="(missing)""
"Chowking","invalid latitude","latitude="14.404890059525473,""
"Chowking","invalid latitude","latitude="14.376275758835515,""
"Chowking","invalid latitude","latitude="14.413180735776871,""
"Mang Inasal","invalid latitude","latitude="14.406624891633179,""
"Mang Inasal","invalid latitude","latitude="14.441697058274313,""
"Mang Inasal","invalid latitude","latitude="14.423738514616423,""
"McDonalds","missing field: longitude, invalid longitude","longitude="(missing)""
"Julie's Bakeshop","invalid latitude","latitude="14.558560977193636,""
"Master siomai","invalid latitude","latitude="14.594459981664889,""
"Chooks to Go","missing field: longitude, invalid longitude","longitude="(missing)""
"Zagu","invalid latitude","latitude="14.464436228372756,""
"Chowking","invalid latitude","latitude="11.207366497711014, 125.00831293543256""
"Andoks","invalid latitude","latitude="11.205758679876014,""
"Mango Magic","invalid latitude","latitude="11.240532782201273,""
"Dunkin Donut","invalid latitude","latitude="11.249245890644255,""
"Chooks to Go","invalid latitude","latitude="11.244653855233866,""
"Chooks to Go","invalid latitude","latitude="11.2443845527046,""
"Turks","invalid latitude","latitude="14.625669558015106,""
"Andoks","invalid latitude","latitude="14.630821128350133,""
"Andoks","invalid latitude","latitude="14.601842304437861, 121.00401243768646""
"Andoks","invalid latitude","latitude="14.60376318954928,""
"Jollibee","invalid latitude","latitude="8.943508959046579,""
"Jollibee","missing field: city","city="(missing)""
"Jollibee","missing field: city","city="(missing)""
"Jollibee","missing field: city","city="(missing)""
"Siomai King","invalid latitude","latitude="14.591042230647103,""
"Siomai King","invalid latitude","latitude="14.584943755047181,""
"Siomai King","invalid latitude","latitude="14.585267999722312,""
"HapChan","invalid latitude","latitude="14.621616910050658,""
"Reyes Barbecue","invalid latitude","latitude="14.590410082654449,""
"Chowking","invalid latitude","latitude="14.281805953222658,""
"Max's Restaurant","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Chooks to Go","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Pan de Manila","missing field: longitude, invalid longitude","longitude="(missing)""
"Mang Inasal","missing field: longitude, invalid longitude","longitude="(missing)""
"Chooks to Go","missing field: longitude, invalid longitude","longitude="(missing)""
"KFC","invalid latitude","latitude="16.41396383931433,""
"Shakey's Pizza","invalid latitude","latitude="14.528760500716142,""
"Shakey's Pizza","invalid latitude","latitude="14.534660164794566,""
"KFC","invalid latitude","latitude="16.629061043126907,""
"JOLLIBEE","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"JOLLIBEE","invalid latitude","latitude="14.445003653962097,""
"KFC","missing field: longitude, invalid latitude, invalid longitude","latitude="14.5865202073654121.11407595267993", longitude="(missing)""
"McDonalds","missing field: longitude, invalid latitude, invalid longitude","latitude="14.578670839288552121.11652275383594", longitude="(missing)""
"Minute Burger","invalid latitude","latitude="14.064480347660373,""
"Baliwag Lechon Manok.Liempo","invalid latitude","latitude="14.696180627077663,""
"Potato Corner","invalid latitude","latitude="14.695092818217523,""
"Andoks","invalid latitude","latitude="14.67013722613844,""
"Chooks to Go","invalid latitude","latitude="14.674980579777882,""
"CHOWKING","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"CHOWKING","invalid latitude","latitude="14.416720940013128,""
"Dunkin Donut","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Kuya J Restaurant","invalid latitude","latitude="14.416323874765048, 121.04154211243034""
"Gerry's Grill","invalid latitude","latitude="14.57825338722379,""
"Classic Savory","invalid latitude","latitude="14.236467869937407, 121.05642082445577""
"JOLLIBEE","invalid latitude","latitude="14.60149606491972,""
"Master siomai","invalid latitude","latitude="14.6193823274877,""
"Master siomai","invalid latitude","latitude="14.617468456990578,""
"Mang Inasal","invalid latitude","latitude="14.616239773911134,""
"Dunkin Donut","invalid latitude","latitude="14.606452667993908,""
"Andoks","invalid latitude","latitude="14.617190133079678,""
"Dunkin Donut","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Krispy Kreme","missing field: city","city="(missing)""
"Uncle John's","invalid latitude","latitude="14.57566362127955,""
"Avocadoria","missing field: longitude, invalid longitude","longitude="(missing)""
"Julie's Bakeshop","invalid latitude","latitude="14.70099395610836,""
"Krispy Kreme","missing field: longitude, invalid longitude","longitude="(missing)""
"Gerry's Grill","invalid latitude","latitude="14.522228797836384,""
"Chooks to Go","missing field: longitude, invalid longitude","longitude="(missing)""
"Peri-Peri","invalid latitude","latitude="14.37607729062581,""
"Chowking","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"McDonalds","invalid latitude","latitude="14.558209639127492,""
"McDonalds","invalid latitude","latitude="14.55745455633847,""
"McDonalds","invalid latitude","latitude="14.583499728999891,""
"McDonalds","invalid latitude","latitude="14.586311929880187,""
"McDonalds","invalid latitude","latitude="14.590417595045642,""
"McDonalds","invalid latitude","latitude="14.58134489776127,""
"McDonalds","invalid latitude","latitude="14.590275193752333,""
"McDonalds","invalid latitude","latitude="14.588948433546165,""
"McDonalds","invalid latitude","latitude="14.604403686333308,""
"Mang Inasal","invalid latitude","latitude="14.559920956401113,""
"Mang Inasal","invalid latitude","latitude="14.56575312549158,""
"Mang Inasal","invalid latitude","latitude="14.590163298225884,""
"Mang Inasal","invalid latitude","latitude="14.592040141920352,""
"Mang Inasal","invalid latitude","latitude="14.618225408509703,""
"Mang Inasal","invalid latitude","latitude="14.587381394766373,""
"Jollibee","invalid latitude","latitude="14.58956204634915,""
"Jollibee","invalid latitude","latitude="14.59059505256179,""
"Jollibee","invalid latitude","latitude="14.618378036209768,""
"Jollibee","invalid latitude","latitude="14.588024123801546,""
"Jollibee","invalid latitude","latitude="14.581645016033647,""
"Jollibee","invalid latitude","latitude="14.583407887656243,""
"Jollibee","invalid latitude","latitude="14.619847123176497,""
"Jollibee","invalid latitude","latitude="14.589526377952264,""
"Jollibee","invalid latitude","latitude="14.567925457496237,""
"Jollibee","invalid latitude","latitude="14.6097098531992,""
"Jollibee","invalid latitude","latitude="14.587751213749314,""
"Jollibee","invalid latitude","latitude="14.570893120575468,""
"Jollibee","invalid latitude","latitude="14.590097498503612,""
"Jollibee","invalid latitude","latitude="14.589309937396688,""
"McDonalds","invalid latitude","latitude="14.570843010044927,""
"McDonalds","invalid latitude","latitude="14.5887294355027,""
"McDonalds","invalid latitude","latitude="14.610052650304528,""
"McDonalds","invalid latitude","latitude="14.588768739483312,""
"Chowking","invalid latitude","latitude="14.587434876599815, 121.1047476917645""
"Chowking","invalid latitude","latitude="14.558640659602272,""
"Chowking","invalid latitude","latitude="14.57289880288325,""
"Chowking","invalid latitude","latitude="14.588749264337551,""
"Chowking","invalid latitude","latitude="14.551819688965217,""
"Chowking","invalid latitude","latitude="14.583497319383051,""
"Chowking","invalid latitude","latitude="14.56558090138346,""
"Chowking","invalid latitude","latitude="14.617973715779435,""
"Burger King","invalid latitude","latitude="14.586331237620465,""
"Burger King","invalid latitude","latitude="14.575045750160928,""
"Burger King","invalid latitude","latitude="14.583872758800451,""
"Kenny Rogers","invalid latitude","latitude="14.587444645065716,""
"Kenny Rogers","invalid latitude","latitude="14.580528995938714, 121.06479679239706""
"Kenny Rogers","invalid latitude","latitude="14.570129799930848,""
"Kenny Rogers","invalid latitude","latitude="14.617968652129303, 121.10069246697732""
"Shakey's Pizza","invalid latitude, invalid longitude","latitude="7.933912.....", longitude="125.099796....""
"Angel's Pizza","invalid latitude","latitude="14.586267677127834,""
"Angel's Pizza","invalid latitude","latitude="14.57629824660427,""
"Angel's Pizza","invalid latitude","latitude="14.554552317051526, 121.09721127796207""
"Burger Machine","invalid latitude","latitude="14.587211685421186, 121.08868122484802""
"Burger Machine","invalid latitude","latitude="14.573281451473546, 121.06190355328351""
"Burger Machine","invalid latitude","latitude="14.618241810729607, 121.09238422599992""
"Burger Machine","invalid latitude","latitude="14.564615025042839,""
"Burger Machine","invalid latitude","latitude="14.566554402310421,""
"Burger Machine","invalid latitude","latitude="14.583759413865097,""
"Burger Machine","invalid latitude","latitude="14.606199247582724,""
"American Ribs & Wings","invalid latitude","latitude="14.544830363858612,""
"K Egg","invalid latitude, invalid longitude","latitude="7.909105.....", longitude="125.090022....""
"Mandarin Tea Garden","invalid latitude, invalid longitude","latitude="7.934432.....", longitude="125.100680....""
"Gong Cha","invalid latitude, invalid longitude","latitude="7.934494.....", longitude="125.100136....""
"Max's Restaurant","invalid latitude, invalid longitude","latitude="7.934507.....", longitude="125.099825....""
"SBARRO","invalid latitude","latitude="14.576449738526287,""
"K Egg","invalid latitude","latitude="14.573597529915736,""
"K Egg","invalid latitude","latitude="14.705937649209178, 121.0487925404871""
"K Egg","invalid latitude","latitude="14.593542104238589,""
"K Egg","invalid latitude","latitude="14.567781322624235,""
"K Egg","invalid latitude","latitude="14.589646501352485,""
"Uncle John's","invalid latitude","latitude="Ω14.097525028801346""
"Uncle John's","invalid latitude","latitude="14.58635470586678,""
"Uncle John's","invalid latitude","latitude="14.588191488893141,""
"Uncle John's","invalid latitude","latitude="14.602855561213465,""
"Uncle John's","invalid latitude","latitude="14.589220681664345,""
"Uncle John's","invalid latitude","latitude="14.568024372630639,""
"Uncle John's","invalid latitude","latitude="14.565347355149713,""
"Uncle John's","invalid latitude","latitude="14.574143796940726,""
"Uncle John's","invalid latitude","latitude="14.574131692734385,""
"Uncle John's","invalid latitude","latitude="14.57811982101036,""
"Uncle John's","invalid latitude","latitude="14.578689333230445,""
"Uncle John's","invalid latitude","latitude="14.58166879347359,""
"Uncle John's","invalid latitude","latitude="14.583143189491908,""
"Uncle John's","invalid latitude","latitude="14.585464260722649,""
"Uncle John's","invalid latitude","latitude="14.615742352636484,""
"Uncle John's","invalid latitude","latitude="14.589537534365027,""
"Uncle John's","invalid latitude","latitude="14.58833391380665,""
"Uncle John's","invalid latitude","latitude="14.589873398771536,""
"Uncle John's","invalid latitude","latitude="14.585167609677876,""
"Uncle John's","invalid latitude","latitude="14.586555322206042,""
"Peri-Peri","invalid latitude","latitude="14.576328470832808,""
"Peri-Peri","invalid latitude","latitude="14.568233993286166,""
"Peri-Peri","invalid latitude","latitude="14.587152101092842,""
"Peri-Peri","invalid latitude","latitude="14.620333218790943,""
"Pancake House","invalid latitude","latitude="14.584605501613,""
"Pancake House","invalid latitude","latitude="14.585813258837527,""
"Pancake House","invalid latitude","latitude="14.57746282208172,""
"Pancake House","invalid latitude","latitude="14.57642260280415,""
"Pancake House","invalid latitude","latitude="14.590128492324821,""
"Pancake House","invalid latitude","latitude="14.580261146338717,""
"Pancake House","invalid latitude","latitude="14.587121254282177,""
"Pancake House","invalid latitude","latitude="14.58663974794382,""
"Pancake House","invalid latitude","latitude="14.586638450065914,""
"Master siomai","invalid latitude, invalid longitude","latitude="7.934355.....", longitude="125.100287....""
"Gerry's Grill","invalid latitude, invalid longitude","latitude="7.934420.....", longitude="125.100638....""
"Red Ribbon","invalid latitude, invalid longitude","latitude="7.905120.....", longitude="125.093394....""
"S&R New York Style Pizza","invalid latitude","latitude="14.58690587513818,""
"S&R New York Style Pizza","invalid latitude","latitude="14.619894698919024,""
"Conti's Bakeshop & Restaurant","invalid latitude","latitude="14.576621919542665,""
"Conti's Bakeshop & Restaurant","invalid latitude","latitude="14.62002470245961,""
"Bacolod Chicken Inasal","invalid latitude","latitude="14.588553146127277,""
"Bacolod Chicken Inasal","invalid latitude","latitude="14.587895999921551,""
"TOKYO TOKYO","invalid latitude","latitude="14.579627820587062,""
"TOKYO TOKYO","invalid latitude","latitude="14.580357272824553,""
"TOKYO TOKYO","invalid latitude","latitude="14.564919854136326,""
"TOKYO TOKYO","invalid latitude","latitude="14.619916814221318,""
"TOKYO TOKYO","invalid latitude","latitude="14.584777992806167,""
"TOKYO TOKYO","invalid latitude","latitude="14.620379591923431,""
"TOKYO TOKYO","invalid latitude","latitude="14.591699047563488,""
"Siomai King","invalid latitude","latitude="14.54973726039078,""
"Siomai King","invalid latitude","latitude="14.563221737324035,""
"Siomai King","invalid latitude","latitude="14.563916521087942,""
"Siomai King","invalid latitude","latitude="14.562994205719617,""
"Siomai King","invalid latitude","latitude="14.570057996765005,""
"Siomai King","invalid latitude","latitude="14.569646808550823,""
"Siomai King","invalid latitude","latitude="14.550900316546812, 121.07592177664927""
"Siomai King","invalid latitude","latitude="14.544705694898976,""
"Siomai King","invalid latitude","latitude="14.5851566085589,""
"Siomai King","invalid latitude","latitude="14.583863729082573,""
"Siomai King","invalid latitude","latitude="14.562937663226075,""
"Siomai King","invalid latitude","latitude="14.599921407093047,""
"Siomai King","invalid latitude","latitude="14.58923025733582,""
"Siomai King","invalid latitude","latitude="14.586135585578072,""
"Siomai King","invalid latitude","latitude="14.590854042035177,""
"Siomai King","invalid latitude","latitude="14.577651097239615,""
"Siomai King","invalid latitude","latitude="14.577646554481555,""
"Siomai King","invalid latitude","latitude="14.618175882027408,""
"Siomai King","invalid latitude","latitude="14.585279213004705,""
"Siomai King","invalid latitude","latitude="14.622296025508735,""
"Siomai King","invalid latitude","latitude="14.609321701499699,""
"Siomai King","invalid latitude","latitude="14.61963584777783,""
"Pickup Coffee","invalid latitude, invalid longitude","latitude="7.934478.....", longitude="125.100043....""
"Pickup Coffee","invalid latitude, invalid longitude","latitude="7.934478.....", longitude="125.100043....""
"The Shawarma Shack","invalid latitude, invalid longitude","latitude="7.911866.....", longitude="125.094925....""
"Ling-nam","invalid latitude","latitude="14.574170440140994,""
"Kuya J Restaurant","invalid latitude","latitude="14.591561939848868,""
"Kuya J Restaurant","invalid latitude","latitude="14.618182676921544,""
"Kuya J Restaurant","invalid latitude","latitude="14.597211011347403,""
"Gong Cha","invalid latitude","latitude="14.59329799446307,""
"Gong Cha","invalid latitude","latitude="14.5765627308826,""
"Gong Cha","invalid latitude","latitude="14.577567909662932, 121.06353567114189""
"Bread Talk","invalid latitude","latitude="14.587402611653095,""
"Greenwich Pizza","invalid latitude, invalid longitude","latitude="7.905172.....", longitude="125.093305....""
"Dairy Queen","invalid latitude","latitude="14.587464297882514,""
"Coffee Project","invalid latitude","latitude="14.608149284836779,""
"Pickup Coffee","invalid latitude","latitude="14.583855864926068,""
"Pickup Coffee","invalid latitude","latitude="14.57112816110693,""
"Pickup Coffee","invalid latitude","latitude="14.575266707912917,""
"Pickup Coffee","invalid latitude","latitude="14.5778234860041,""
"Pickup Coffee","invalid latitude","latitude="14.575274040765525,""
"Pickup Coffee","invalid latitude","latitude="14.57727150658256,""
