name,reason,value
"Potato Corner","invalid latitude","latitude="14.574659746792442,""
"Potato Corner","invalid latitude","latitude="14.558380557888112,""
"Potato Corner","invalid latitude","latitude="14.57826959753639,""
"Potato Corner","invalid latitude","latitude="14.580722305693481,""
"Potato Corner","invalid latitude","latitude="14.58647131288176,""
"Potato Corner","invalid latitude","latitude="14.566964628638988,""
"Potato Corner","invalid latitude","latitude="14.589380924003818,""
"Potato Corner","invalid latitude","latitude="14.56839070265915,""
"Potato Corner","invalid latitude","latitude="14.572445808212933,""
"Potato Corner","invalid latitude","latitude="14.604642108777977,""
"Potato Corner","invalid latitude","latitude="14.587922958495303,""
"Potato Corner","invalid latitude","latitude="14.589198543477323,""
"Potato Corner","invalid latitude","latitude="14.60303163539397,""
"Potato Corner","invalid latitude","latitude="14.590476099601203,""
"Potato Corner","invalid latitude","latitude="14.61966239786988,""
"Dimsum Panda","invalid latitude","latitude="14.579767683193799,""
"Dimsum Panda","invalid latitude","latitude="14.560101333357323,""
"Dimsum Panda","invalid latitude","latitude="14.573163808940825, 121.05842126724554""
"Dimsum Panda","invalid latitude","latitude="14.568421023467799,""
"Dimsum Panda","invalid latitude","latitude="14.561639934138963,""
"Dimsum Panda","invalid latitude","latitude="14.581767295340276,""
"Dimsum Panda","invalid latitude","latitude="14.56232806240217,""
"Dimsum Panda","invalid latitude","latitude="14.617319835515016,""
"Dimsum Panda","invalid latitude","latitude="14.535566332695623,""
"Dimsum Panda","invalid latitude","latitude="14.563651264922438,""
"Dimsum Panda","invalid latitude","latitude="14.58718929374243,""
"Dimsum Panda","invalid latitude","latitude="14.612320381782316,""
"Dimsum Panda","invalid latitude","latitude="14.587335078738365,""
"Dimsum Panda","invalid latitude","latitude="14.570915398251273,""
"Dimsum Panda","invalid latitude","latitude="14.617068590229746,""
"Dimsum Panda","invalid latitude","latitude="14.554796752941657,""
"Dimsum Panda","invalid latitude","latitude="14.583795620659549,""
"Mister Donut","invalid latitude","latitude="14.553174572241598,""
"Mister Donut","invalid latitude","latitude="14.561399021772482,""
"Mister Donut","invalid latitude","latitude="14.603460336321291,""
"Mister Donut","invalid latitude","latitude="14.5891937380256,""
"Andoks","invalid latitude","latitude="14.561027584366085,""
"Andoks","invalid latitude","latitude="14.565240154362959,""
"Andoks","invalid latitude","latitude="14.552045801082917,""
"Andoks","invalid latitude","latitude="14.59046120818112,""
"Andoks","invalid latitude","latitude="14.545976211405733,""
"Andoks","invalid latitude","latitude="14.564152194658842,""
"Andoks","invalid latitude","latitude="14.573699546870213,""
"Andoks","invalid latitude","latitude="14.59117084496186,""
"Andoks","invalid latitude","latitude="14.596537547199654,""
"Andoks","invalid latitude","latitude="14.60915924399515,""
"Chooks to Go","invalid latitude","latitude="14.552605123666295,""
"Chooks to Go","invalid latitude","latitude="14.564093828948513,""
"Chooks to Go","invalid latitude","latitude="14.555901173544191,""
"Chooks to Go","invalid latitude","latitude="14.56346939074913,""
"Chooks to Go","invalid latitude","latitude="14.57324538572681,""
"Chooks to Go","invalid latitude","latitude="14.567976961418118,""
"Chooks to Go","invalid latitude","latitude="14.590024343405483,""
"Chooks to Go","invalid latitude","latitude="14.57363084693184,""
"Chooks to Go","invalid latitude","latitude="14.544135176065788,""
"Chooks to Go","invalid latitude","latitude="14.587550691497386,""
"Chooks to Go","invalid latitude","latitude="14.590043563603642,""
"Chooks to Go","invalid latitude","latitude="14.584434184010938,""
"Chooks to Go","invalid latitude","latitude="14.594064215536505,""
"Chooks to Go","invalid latitude","latitude="14.610958712619045,""
"Chooks to Go","invalid latitude","latitude="14.589280500951674,""
"Chooks to Go","invalid latitude","latitude="14.604377364423135,""
"JOLLIBEE","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Gringo","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Blake's Wings & Steaks","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Mang Inasal","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"JOLLIBEE","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Andoks","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Lemon Square","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Goldilocks","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"JOLLIBEE","invalid latitude, invalid longitude","latitude="15.405.302042", longitude="120.3446.91107""
"Big Mak","invalid latitude","latitude="13.180041954323476,""
"Angel's Burger","missing field: longitude, invalid latitude, invalid longitude","latitude="13.355646281411095, 123.36470663962245", longitude="(missing)""
"Red Ribbon","invalid latitude","latitude="13.420644102037468,""
"Potato Corner","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Big Mak","invalid latitude","latitude="13.2929159,""
"Happy Cup","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Happy Cup","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"MANG INASAL","invalid latitude","latitude="13.143839765049705,""
"K Egg","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Chooks to Go","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Sr Pedro","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Potato Corner","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Chooks to Go","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"MANG INASAL","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Mister Donut","invalid latitude","latitude="9.3645° N""
"Crispy King","invalid latitude","latitude="10.55.09.02""
"JOLLIBEE","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Potato Corner","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"McDonalds","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Potato Corner","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Yellow Cab Pizza","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"JM Shawarma","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Goldilocks","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Red Ribbon","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"JOLLIBEE","missing field: latitude, longitude, invalid latitude, invalid longitude","latitude="(missing)", longitude="(missing)""
"Big Brew","invalid latitude","latitude="15.522056853216046,""
