name,latitude,longitude,category,landmark,barangay,city,province
Peri-Peri,14.6825082333871,120.5382134667643,food,"Located in SM Balanga, Bataan Transport Mall",Cataning,"CITY OF BALANGA (Capital)",BATAAN
"Burger Machine ",14.683269186176368,120.5438337175712,food,"Near Dona Francisca park, Cuaderno St, Balanga, Bataan",Cataning,"CITY OF BALANGA (Capital)",BATAAN
"S&R New York Style Pizza",14.67181099181249,120.52460880839934,food,"Located in Walmart Balanga, Bataan Provincial Hwy, Balanga, Bataan",Cataning,"CITY OF BALANGA (Capital)",BATAAN
"Contis Bakeshop & Restaurant",14.682776755418582,120.53903137532181,food,"Located in SM City Balangan",Central,"CITY OF BALANGA (Capital)",BATAAN
"Kuya J Restaurant ",14.65477368200028,120.53368546977073,food,"Located in Level 2, Vista Mall, Bataan, Balanga, Bataan","Pto. Rivas Ibaba","CITY OF BALANGA (Capital)",BATAAN
"Gong Cha",14.65483382232476,120.5339365372347,food,"Located in 2/F Vista Mall Bataan, Roman Superhighway, Balanga, Bataan",Central,"CITY OF BALANGA (Capital)",BATAAN
"Bread Talk",14.683788762279692,120.53871996607107,food,"Near Sm City, Balanga, Bataan, Calero St",Central,"CITY OF BALANGA (Capital)",BATAAN
"Coffee Project",14.655009781776347,120.53414488565535,food,"Lcated in 2/F Vista Mall Bataan, Brgy. Cupang Central, Roman Superhighway, Balanga, 2100 Bataan",Central,"CITY OF BALANGA (Capital)",BATAAN
Chatime,14.670802229635063,120.52398244463578,food,"Located in Waltermart Balanga",Camacho,"CITY OF BALANGA (Capital)",BATAAN
"Classic Savory",14.682847433833066,120.53893751209982,food,"Located in Sm City, Balanga, Bataan Transport Mall",Central,"CITY OF BALANGA (Capital)",BATAAN
"Max's Restaurant",14.655885410626459,120.53459301027517,food,"Located in Vista Mall, Bataan Provincial Hwy, Balanga, Bataan",Central,"CITY OF BALANGA (Capital)",BATAAN
"Max's Restaurant",14.682120000296543,120.53825726415492,food,"Located in Ground Floor, SM City Bataan, Lerma St, Balanga, Bataan",Central,"CITY OF BALANGA (Capital)",BATAAN
"Kettle Korn",14.682734098486625,120.53714968935626,food,"Located in Second Floor, SM City Bataan, Balanga, 2100 Bataan",Central,"CITY OF BALANGA (Capital)",BATAAN
"Famous Belgian Waffles",14.67236980734707,120.52385606422071,food,"Near S&R New York Style Pizza, RomanSuperhighway","Cupang Proper","CITY OF BALANGA (Capital)",BATAAN
"Gerry's Grill",14.682868190775123,120.53854054517744,food,"Located in Sm City, Balanga, Bataan Transport Mall",Central,"CITY OF BALANGA (Capital)",BATAAN
Zagu,14.68127819973165,120.54203324702763,food,"Near BPSU, Poblacion, Fourlane Commercial, Balanga, Bataan",Poblacion,"CITY OF BALANGA (Capital)",BATAAN
"Red Ribbon",14.679965289870935,120.54191737047503,food,"lOCATED IN GROUND FLOOR CENTER PLAZA MALL, St Joseph St, POBLACION, Balanga, 2100 Bataan",Poblacion,"CITY OF BALANGA (Capital)",BATAAN
"Red Ribbon",14.676881355710792,120.53642864349499,food,"Near Ambher Optical Clinic, San Jose, Fourlane Commercial, Balanga, Bataan","San Jose","CITY OF BALANGA (Capital)",BATAAN
"Domino's Pizza",14.683305305711015,120.5417884520368,food,"Near Chhhilax, Dilig Building, Don Manuel Banzon Avenue, Balanga, Bataan",Central,"CITY OF BALANGA (Capital)",BATAAN
"J.CO Donuts & Coffee",14.682535577151812,120.53789438141399,food,"Located in SM City Bataan Transport Mall",Central,"CITY OF BALANGA (Capital)",BATAAN
"Krispy Kreme",14.68384310537859,120.53805501209985,food,"Located in SM City Bataan, Ground Level, Transport Terminal, Balanga, 2100 Bataan",Central,"CITY OF BALANGA (Capital)",BATAAN
"Crispy King",14.682248527857766,120.54148885257815,food,"Near EastWeast Bank, 49 Don Manuel Banzon Avenue, Balanga, Bataan",Central,"CITY OF BALANGA (Capital)",BATAAN
"Master siomai",14.656805928065262,120.54002591397035,food,"Located in Vista Mall Bataan, Bataan Provincial Hwy",,"CITY OF BALANGA (Capital)",BATAAN
"Master siomai",14.671698215104806,120.49988735123623,food,"Located in Bataan Center Mall Plaza, Balanga, Bataan",Central,"CITY OF BALANGA (Capital)",BATAAN
Cindy's,14.670634266414574,120.52311499837533,food,"Located in WalterMart Balanga, Bataan Provincial Hwy","Cupang North","CITY OF BALANGA (Capital)",BATAAN
Chowking,14.676758300671379,120.52162549200352,food,"Near Metrobank, Roman SuperHighway",Central,"CITY OF BALANGA (Capital)",BATAAN
Chowking,14.676351003581967,120.53165887038983,food,"Located in Capitol Dr, Balanga, 2100 Bataan",Central,"CITY OF BALANGA (Capital)",BATAAN
Chowking,14.654785215916911,120.53391006755108,food,"Located in Level 1, Vista Mall, Bataan, Roman Superhighway, Cupang Proper, Balanga, 2100 Bataan",Central,"CITY OF BALANGA (Capital)",BATAAN
Chowking,14.841407500904726,120.47492932759388,food,"Near Mcdonalds, Roman Superhighway, POBLACION, Balanga, 2100 Bataan",Poblacion,"CITY OF BALANGA (Capital)",BATAAN
KFC,14.68197757497557,120.54221775701232,food,"Near Western Union, D, Banzon St, Balanga, 2100 Bataan","Munting Batangas (Cadre)","CITY OF BALANGA (Capital)",BATAAN
KFC,14.674683162447577,120.5228244527523,food,"Near Tokyo Tokyo, Barrio, Corner Anacleto Avenue, Roman Superhighway, Balanga, 2100 Bataan",Bagumbayan,"CITY OF BALANGA (Capital)",BATAAN
KFC,14.682509797437575,120.53815756379696,food,"Located in Ground Floor, SM City, Lerma Street, Balanga, 2100 Bataan","Munting Batangas (Cadre)","CITY OF BALANGA (Capital)",BATAAN
KFC,14.679369256974775,120.54145758772238,food,"Located in Unit 106 to 107, Galeria Victoria Mall, JP Rizal St, Poblacion, Balanga, 2100 Bataan",Cabog-Cabog,"CITY OF BALANGA (Capital)",BATAAN
McDonalds,14.675120660322406,120.5220355036648,food,"Near Burger KIng, Calero Street, Balanga, 2100 Bataan","Bagong Silang","CITY OF BALANGA (Capital)",BATAAN
McDonalds,14.686327243055835,120.53866851285929,food,"Near PENELCO, Calero Street, Balanga, 2100 Bataan",Central,"CITY OF BALANGA (Capital)",BATAAN
McDonalds,14.6776142845635,120.53802113469844,food,"Near Potato Corner, Magsaysay St","Munting Batangas (Cadre)","CITY OF BALANGA (Capital)",BATAAN
McDonalds,14.655738813310396,120.53417782752716,food,"Near 24 hours Laundry, Roman Superhighway, Balanga, 2100 Bataan","Cupang Proper","CITY OF BALANGA (Capital)",BATAAN
"Burger King",14.674775232119531,120.5228328967568,food,"Near Subic Tiles Trading, Roman Superhighway, Balanga, Bataan",Bagumbayan,"CITY OF BALANGA (Capital)",BATAAN
"TOKYO TOKYO",14.674874010919329,120.52371598511422,food,"Near KFC, Dr F arcleto Ave","Munting Batangas (Cadre)","CITY OF BALANGA (Capital)",BATAAN
"Yellow Cab Pizza",14.655338260188676,120.53370516661214,food,"Located in Vista Mall, Brgy. Cupang, Balanga, 2100 Bataan","Cupang Proper","CITY OF BALANGA (Capital)",BATAAN
McDonalds,14.677499369357829,120.53776062462265,food,"Near Potato Corner, Roxas St",Cabog-Cabog,"CITY OF BALANGA (Capital)",BATAAN
"Greenwich Pizza",14.680705516786555,120.54215862318243,food,"Located in Center Plaza Mall, St Joseph St, Poblacion, Balanga, 2100 Bataan",Poblacion,"CITY OF BALANGA (Capital)",BATAAN
"Greenwich Pizza",14.655833279719584,120.53453565972009,food,"Located in Ground Floor, Vista Mall, Roman Superhighway, Balanga, 2100 Bataan",Central,"CITY OF BALANGA (Capital)",BATAAN
Turks,14.68274224396767,120.53841572082244,food,"Located in 2nd Floor Food Court, SM City Bataan, Calero Street, Balanga, Bataan",Central,"CITY OF BALANGA (Capital)",BATAAN
Turks,14.679226937374915,120.54178479214711,food,"Near Galeria Victoria, Poblacion, Fourlane Commercial, Balanga, Bataan",Poblacion,"CITY OF BALANGA (Capital)",BATAAN
"Mang Inasal",14.679297194248937,120.54249434738199,food,"Located in Galeria , Victoria Mall, Poblacion, Balanga, Bataan",Central,"CITY OF BALANGA (Capital)",BATAAN
"Mang Inasal",14.6770637714675,120.53618228753152,food,"Near Gap Plaza Hotel, Gap Hotel, Capitol Dr, Balanga, Bataan",Bagumbayan,"CITY OF BALANGA (Capital)",BATAAN
"Mang Inasal",14.671117303372952,120.52432563925949,food,"Located in WalterMart Balanga",Central,"CITY OF BALANGA (Capital)",BATAAN
"Dunkin Donut",14.680061503467993,120.54137398408842,food,"Located in Galeria Victoria Mall, JP Rizal St, Poblacion, Balanga, 2100 Bataan","Munting Batangas (Cadre)","CITY OF BALANGA (Capital)",BATAAN
"Dunkin Donut",14.670358211260897,120.52160877545367,food,"Located in Capito Hills, Near LBC Express WalterMart",Central,"CITY OF BALANGA (Capital)",BATAAN
"Dunkin Donut",14.655204747317295,120.53362048774943,food,"Located in Vista Mall Bataan, Bataan Provincial Hwy, Balanga, Bataan",Cataning,"CITY OF BALANGA (Capital)",BATAAN
"Potato Corner",14.68101111769474,120.54155454773687,food,"Located in JP Rizal Street, Galleria Victoria, Bataan, Balanga, 2100","Munting Batangas (Cadre)","CITY OF BALANGA (Capital)",BATAAN
"Potato Corner",14.677349722086728,120.53766375584131,food,"Near Mcdonalds, Capitol Dr, Balanga, Bataan",Cabog-Cabog,"CITY OF BALANGA (Capital)",BATAAN
"Potato Corner",14.675027759793238,120.53374474048357,food,"Near Zarina Overun Outlet, Gen. Kapinpin St, Balanga, Bataan",Central,"CITY OF BALANGA (Capital)",BATAAN
"Potato Corner",14.670489259947958,120.52119835091618,food,"Located in Waltermart Balanga",Central,"CITY OF BALANGA (Capital)",BATAAN
"Mister Donut",14.683305916807754,120.5396207639544,food,"Located in Bataan Terminal Complex, Soliman Street, Balanga, Bataan","Munting Batangas (Cadre)","CITY OF BALANGA (Capital)",BATAAN
Andoks,14.673063001483975,120.52373163168456,food,"Near But First Coffee Balanga, Italia St, Balanga, Bataan","Cupang Proper","CITY OF BALANGA (Capital)",BATAAN
"Chooks to Go",14.680586893267247,120.54058765072803,food,"Near CellTech, Aguirre St",Poblacion,"CITY OF BALANGA (Capital)",BATAAN
Biggs,13.570886821770067,123.26526616313389,food,"Tabi ng shakeys","San Antonio (Pob.)","PILI (Capital)","CAMARINES SUR"
JOLLIBEE,13.556093271626374,123.27397523112217,food,"Barangay Old San Roque, 1, Pili, Camarines Sur","Old San Roque (Pob.)","PILI (Capital)","CAMARINES SUR"
JOLLIBEE,14.606134553188674,121.02341056379696,food,"Near BFP, N. DOMINGO, cor A. Luna, ST, San Juan, Metro Manila",Rivera,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
JOLLIBEE,14.596017951593357,121.02821611963236,food,"Near Bingo Plus, F Manalo, Street, Barangay, 432 F. Blumentritt, corner F. Manalo, San Juan, Metro Manila",Kabayanan,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
JOLLIBEE,14.597298804789464,121.0394498926327,food,"Located in Salva Building, Wilson, San Juan, Metro Manila",Maytunas,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
JOLLIBEE,14.60384365779858,121.05220624967804,food,"Near CGII ANNAPOLS, ",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
JOLLIBEE,14.604145346627343,121.03226012208046,food,"Near Mcdonalds, Halo-halo, CML-HSI Pinaglabanan Place Santolan Road, Brgy St. Joseph, San Juan","Halo-halo (St. Joseph)","CITY OF SAN JUAN","NCR, SECOND DISTRICT"
JOLLIBEE,14.602436171123292,121.05014572882686,food,"Located in G/F Vmall Greenhills Shopping Center, San Juan",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
Peri-Peri,14.600643703757026,121.05054132004085,food,"Located in Greenhills Shopping Center, Ortigas Ave, San Juan, 1502 Metro Manila",Greenhills,"CITY OF SAN JUAN","Metro Manila"
"Burger Machine ",14.604512299170173,121.03320906493,food,"Near Metro Oil, Guevarra St","Addition Hills","CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Burger Machine ",14.609792308624703,121.03022121533407,food,"Near Petron, M. Paterno, San Juan, 1500 Metro Manila",Pasadeña,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Pancake House",14.6051109616647,121.03529773671919,food,"Near GoTyme Bank, Col. Bonny Serrano Ave, San Juan, 1500 Metro Manila","Little Baguio","CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Pancake House",14.60178831560142,121.04865709937908,food,"Located in Greenhills Mall",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Bacolod Chicken Inasal ",14.600502415754788,121.04947535180983,food,"Located in Greenhills Shopping Center, N Western St, San Juan, 1502 Metro Manila",Greenhills,"CITY OF SAN JUAN","Metro Manila"
"Siomai King ",14.604874571879106,121.02356703908417,food,"Located in Pure Gold Price Club",Rivera,"CITY OF SAN JUAN","Metro Manila"
Ling-nam,14.59876238763874,121.03862992983326,food,"Located in Citiplace Building, 8001 Jose Abad Santos, San Juan, 1500 Metro Manila","Little Baguio","CITY OF SAN JUAN","Metro Manila"
"Gong Cha",14.601713372947847,121.0513101281034,food,"Located in Greenhills Ghopping Center",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Gong Cha",14.605450973493356,121.03603226601054,food,"Located in Santolan Town Plaza, Near Shellsoft Technology Corporation","Little Baguio","CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Bread Talk",14.601377843512664,121.0489989886146,food,"Located in Unit Lower Ground Floor, Greenhills Mall, Greenhills Shopping Center, San Juan, Metro Manila",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Bread Talk",14.602229192744774,121.04985729547376,food,"Located in Greenhills Shopping Center",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Dairy Queen",14.602860455285951,121.0514030046977,food,"Located in Greenhills Shopping Center",Greenhills,"CITY OF SAN JUAN","Metro Manila"
"Pickup Coffee",14.606893748131434,121.04114221155712,food,"Near Total Greenhills",Greenhills,"CITY OF SAN JUAN","Metro Manila"
Chatime,14.601471584020624,121.04980208659056,food,"Located in Greenhills Shopping Center",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
Chatime,14.602582489816426,121.04852535513758,food,"Located in Greenhills Shopping Center",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Reyes Barbecue",14.595984489869803,121.03131731949911,food,"Near Cardinal Santos Hospital","Little Baguio","CITY OF SAN JUAN","Metro Manila"
"Classic Savory",14.603286974252763,121.04975946712075,food,"Near Theatre Mall, Greenhills Shopping Center",Greenhills,"CITY OF SAN JUAN","Metro Manila"
"Max's Restaurant",14.6030853705776,121.05869217825642,food,"Located in Greenhills Shopping Center",Greenhills,"CITY OF SAN JUAN","Metro Manila"
Popeyes,14.608209455453077,121.02739811149785,food,"Located in The Cornerstone Bldg, 1500 N. Domingo, Second District, San Juan, Metro Manila","Pedro Cruz","CITY OF SAN JUAN","NCR, SECOND DISTRICT"
Popeyes,14.602942111061662,121.0534940093316,food,"Located in Greenhills Shopping Center",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Famous Belgian Waffles",14.602704842675367,121.05055676182772,food,"Located in Greenhills Shopping Center",Greenhills,"CITY OF SAN JUAN","Metro Manila"
Avocadoria,14.602777431413296,121.04893673410194,food,"Located in Greenhills Shopping Center",Greenhills,"CITY OF SAN JUAN","Metro Manila"
Zagu,14.611654939834018,121.0229957042663,food,"Near Puregold Price Club, Bellagio Building, N. Domingo St. ","Pedro Cruz","CITY OF SAN JUAN","NCR, SECOND DISTRICT"
Zagu,14.605155329529163,121.05380896630354,food,"Located in Greenhills Shopping Center",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Baliwag Lechon Manok.Liempo",14.59611429024522,121.0295321136912,food,"Near Palawan Express Pera Padala, No. 224, F Blumentritt Street, corner F Manalo Street",Kabayanan,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Baliwag Lechon Manok.Liempo",14.607155866588334,121.02597282760279,food,"Near Philhealth Care, N. Domingo, San Juan, 1500 Metro Manila",Balong-Bato,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Pan de Manila",14.599450017294174,121.03843552578483,food,"Near Quarry Bay Industrial Sales","Little Baguio","CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Pan de Manila",14.601761831204303,121.0530367793661,food,"Near Starbucks, Missouri, Greenhills Po, San Juan, 1502 Metro Manila",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Red Ribbon",14.604960636160326,121.02344254887659,food,"Located in Puregold Price Club","Pedro Cruz","CITY OF SAN JUAN","Metro Manila"
"Angel's Burger",14.605304344240226,121.0277825331584,food,"Near Chooks To Go, F. Blumentritt, San Juan, Metro Manila",Kabayanan,"CITY OF SAN JUAN","Metro Manila"
"J.CO Donuts & Coffee",14.603547083794943,121.05177854093432,food,"Located in Promenade Greenhills, Greenhills shopping Center",Greenhills,"CITY OF SAN JUAN","Metro Manila"
"Master siomai",14.602052291243334,121.04985715286085,food,"Located in Greenhills Shopping Center",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Master siomai",14.609785136359015,121.02982982957566,food,"Near Abby's Meat Shop, N. Domingo St",Pasadeña,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
BonChon,14.603424941824805,121.05243433723398,food,"Located in Promenade Mall, Greenhills Shopping Center",Greenhills,"CITY OF SAN JUAN","Metro Manila"
Chowking,14.604441239255252,121.05375370493442,food,"Near Jollibee, Albany St, cor Annapolis, San Juan, 1503 Metro Manila",Greenhills,"CITY OF SAN JUAN","Metro Manila"
KFC,14.60405677116552,121.06048660463867,food,"Near Pacific Machines Building, Epifanio de los Santos Ave, San Juan, 1502 Metro Manila",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
KFC,14.602349613630237,121.0467024645403,food,"Near Calter, Ortigas Ave",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
KFC,14.58908762095347,121.10296965104301,food,"Near, Caltex Service Station, Caltex Ortigas Avenue, Greenhills, Corner Club Filipino Avenue, San Juan, 1502 Metro Manila",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
McDonalds,14.604941338732614,121.0354502734384,food,"Near Bulacacan Butche Shop. Bonny Serrano Ave","Corazon De Jesus","CITY OF SAN JUAN","NCR, SECOND DISTRICT"
McDonalds,14.605408162161476,121.02320892821483,food,"Near Puregold, N. Domingo St. Cor. F. Blumentritt St. Commercial Unit 4 Puregold Agora Mall, San Juan, 1800","Pedro Cruz","CITY OF SAN JUAN","NCR, SECOND DISTRICT"
McDonalds,14.601907008962145,121.05145269385675,food,"Near Criselda's Boutique, Ortigas Ave, San Juan, 1502 Metro Manila",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
McDonalds,14.601224462303458,121.04949684539388,food,"Located in Greenhills Shopping Center, Lifestyle Center ",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
McDonalds,14.604684408843312,121.04240765888665,food,"Near MosBeau Philippines, Ortigas Ave, San Juan, 1502 Metro Manila",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Shakey's Pizza",14.600798768366703,121.05007411634055,food,"Located in Greenhills Shopping Center",Greenhills,"CITY OF SAN JUAN","Metro Manila"
"Burger King",14.604505147403197,121.0442818623694,food,"Near The Unity Coins, Ortigas Ave, San Juan, 1503 Metro Manila",Greenhills,"CITY OF SAN JUAN","Metro Manila"
"Yellow Cab Pizza",14.601174485701126,121.05118889490544,food,"Located in Greenhills Shopping Center",Greenhills,"CITY OF SAN JUAN","Metro Manila"
"Mang Inasal",14.606755609493574,121.02703004110067,food,"Located in Puregold Price Club",Greenhills,"CITY OF SAN JUAN","Metro Manila"
"Dunkin Donut",14.60806034175548,121.03080609263043,food,"Near TGP The Generic Pharmacy",Balong-Bato,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Dunkin Donut",14.602237406733973,121.04665416257292,food,"Near 7/11, CALTEX, McKinley corner Ortigas Ave, San Juan, Metro Manila",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
Goldilocks,14.605916764012887,121.02375083353363,food,"Located in Puregold Price Club","San Perfecto","CITY OF SAN JUAN","Metro Manila"
"Potato Corner",14.609094368799957,121.04800934969214,food,"Near Jollibee, West Crame, San Juan, Metro Manila","West Crame","CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Potato Corner",14.601517760083691,121.04995171717015,food,"Greenhills Shopping Center",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Potato Corner",14.60459589993531,121.03360992637876,food,"Located in Santolan Town Plaza","Corazon De Jesus","CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Potato Corner",14.603251162234674,121.05173037484164,food,"Located in Greenhills Promenade Mall Annapolis St. corner Missouri St., 2/F Cinema, San Juan, Metro Manila",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Potato Corner",14.59798746241325,121.04554617484165,food,"Located in Cardinal Santos Medical Center",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Potato Corner",14.603504515558381,121.03797286196091,food,"Near Busan Mart, 16 General Vicente Lim, Street, San Juan, 1500 Metro Manila","Little Baguio","CITY OF SAN JUAN","NCR, SECOND DISTRICT"
Andoks,14.683250921525662,121.16682351174661,food,"Located in Chen Guo Qing, J25H+QP4, N. Domingo, San Juan, 1500 Metro Manila",Pasadeña,"CITY OF SAN JUAN","Metro Manila"
"Chooks to Go",14.597361267108916,121.04023446044265,food,"Near Asia United Bank, 450 P. Guevarra St, San Juan, 1500 Metro Manila",Maytunas,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Chooks to Go",14.604480408852046,121.02359411655813,food,"Located in DXN Philippines Service Centers",Tibagan,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
"Chooks to Go",14.602540460042961,121.04763065214027,food,"Located in Greenhills Shopping Center",Greenhills,"CITY OF SAN JUAN","NCR, SECOND DISTRICT"
JOLLIBEE,7.6016731415610925,125.96308284085576,food,"Near COMVAL Auto Supply, Daang Maharlika Hwy, Nabunturan, Davao de Oro",Poblacion,"NABUNTURAN (Capital)","DAVAO DE ORO"
"Red Ribbon",7.598272550474194,125.96882444879812,food,"Located in LEVEL 1 GAISANO GRAND, L -C Arabejo Ave, POBLACION, Nabunturan",Poblacion,"NABUNTURAN (Capital)","DAVAO DE ORO"
"Julie's Bakeshop",7.602953531582257,125.96801656359943,food,"Near Sanitary Function Hall, J. Luna cor. St. Teresita Purok 7, Nabunturan, 8800 Davao de Oro",Poblacion,"NABUNTURAN (Capital)","DAVAO DE ORO"
"Minute Burger",7.6015083973592725,125.96741460540842,food,"Near Pera MPC, Nabunturan Terminal",Poblacion,"NABUNTURAN (Capital)","DAVAO DE ORO"
"Mang Inasal",7.6020165534252975,125.96302861503294,food,"Near Central Warehouse Clun Inc, L -C Arabejo Ave, St, Nabunturan, Davao de Oro",Poblacion,"NABUNTURAN (Capital)","DAVAO DE ORO"
Goldilocks,7.602468213963239,125.96284380276913,food,"Near Mang Inasal, JX27+W27, Nabunturan, Davao de Oro",Poblacion,"NABUNTURAN (Capital)","DAVAO DE ORO"
"Chooks to Go",7.600708683902051,125.96604116229092,food,"Located in Nbunturan Public Market, ",Poblacion,"NABUNTURAN (Capital)","DAVAO DE ORO"
"Angel's Burger",14.646770230165437,120.5387750316842,food,"Near 7/11, JGWQ+MC3, Bataan Provincial Hwy, Pilar, Bataan","Wakas North",PILAR,BATAAN
Cindy's,14.644786868918288,120.53750255866964,food,"Near Iglesia Ni Cristo, Stall #7, Labasan, Tuazon Building, Pilar, 2101 Bataan",Poblacion,PILAR,BATAAN
Goldilocks,14.672206970532773,120.54919314887769,food,"Near Moto Kosepto Pilar Arcade","Wakas North",PILAR,BATAAN
Andoks,14.647667788737593,120.53819819914797,food,"Near Elaine and Elaijohn Lomi Batangas",Ala-uli,PILAR,BATAAN
"Pancake House",14.42531292373316,121.02745761506252,food,molito,Alabang,"CITY OF MUNTINLUPA","NCR, FOURTH DISTRICT"
"Pancake House",14.416605439211173,121.04136218639337,food,"Festival mall",Alabang,"CITY OF MUNTINLUPA","NCR, FOURTH DISTRICT"
"Pancake House",14.421696969100465,121.03610505680068,food,"South Supermarket ",Alabang,"CITY OF MUNTINLUPA","NCR, FOURTH DISTRICT"
"S&R New York Style Pizza",14.423416899707219,121.03330254147879,food,"Near Westgate",Alabang,"CITY OF MUNTINLUPA","NCR, FOURTH DISTRICT"
"S&R New York Style Pizza",14.417052169674834,121.04083541073766,food,"Festival Mall",Alabang,"CITY OF MUNTINLUPA","NCR, FOURTH DISTRICT"
"Contis Bakeshop & Restaurant",14.42187511038707,121.03565379915095,food,"Westgate ",Alabang,"CITY OF MUNTINLUPA","NCR, FOURTH DISTRICT"
"Contis Bakeshop & Restaurant",14.41804065327441,121.04167263598671,food,"Festival Mall",Alabang,"CITY OF MUNTINLUPA","NCR, FOURTH DISTRICT"
"Tokyo Tokyo",14.417774850690234,121.04097833962766,food,"Festival Mall",Alabang,"CITY OF MUNTINLUPA","NCR, FOURTH DISTRICT"
Peri-Peri,14.417126995789234,121.04146611938924,food,"Festival Mall",Alabang,"CITY OF MUNTINLUPA","NCR, FOURTH DISTRICT"
Peri-Peri,14.424290909669857,121.02952048190244,food,ATC,Alabang,"CITY OF MUNTINLUPA","NCR, FOURTH DISTRICT"
Peri-Peri,14.495639592450251,121.04213783040993,food,"E service road, muntinlupa",Alabang,"CITY OF MUNTINLUPA","NCR, FOURTH DISTRICT"
Peri-Peri,14.565974249962496,121.03014702476419,food,"7842 Makati Avenue Barangay Poblacion",Poblacion,"CITY OF MAKATI","NCR, FOURTH DISTRICT"
"S&R New York Style Pizza",14.558295632527456,121.02017135359935,food,"Unit 4 Ground Floor Tower 6789 Ayala Ave",Bel-Air,"CITY OF MAKATI","NCR, FOURTH DISTRICT"
"Mister Donut",14.195521945677536,121.16518655835837,food,"Near DHSUD Region 4A, Calamba Plant",Real,"CITY OF CALAMBA",LAGUNA
"Mister Donut",14.206852053056144,121.1562602037884,food,"Near Sarah&Hazel Grocery","Barangay 1 (Pob.)","CITY OF CALAMBA",LAGUNA
"Mister Donut",14.207567669349137,121.14973760351783,food,"Located in Calamba Central Terminal",Real,"CITY OF CALAMBA",LAGUNA
"Mister Donut",14.218626475302964,121.14078552882685,food,"Located in Super Metro Calamba, Near Chngu Buko House",Barandal,"CITY OF CALAMBA",LAGUNA
"Mister Donut",14.213086525536774,121.11694049937907,food,"Near Handyman, imall Calnubang",Canlubang,"CITY OF CALAMBA",LAGUNA
"Mister Donut",14.186072454253967,121.1363569376355,food,"Near Hars Hotel","Barangay 1 (Pob.)","CITY OF CALAMBA",LAGUNA
Andoks,14.212880900160581,121.16752395727542,food,"Near Rural Bank Of Calamba","Barangay 1 (Pob.)","CITY OF CALAMBA",LAGUNA
Andoks,14.20339810313485,121.15324538402353,food,"Near PHJ Animal Bite, Real Rd",Real,"CITY OF CALAMBA",LAGUNA
Andoks,14.206529776058048,121.15543201042377,food,"Near RTBC ATM, Calamba Crossing Bridge, Calamba, 4027 Laguna","Barangay 1 (Pob.)","CITY OF CALAMBA",LAGUNA
Andoks,14.17862087593819,121.18286546196089,food,"Near Hailey Liqour and Wine, Kaimo",Parian,"CITY OF CALAMBA",LAGUNA
Andoks,14.185005276228084,121.13648003987153,food,"Near Petron","Barangay 1 (Pob.)","CITY OF CALAMBA",LAGUNA
Andoks,14.21824512514189,121.14188933803545,food,"Near Western Union, ",Parian,"CITY OF CALAMBA",LAGUNA
