name,latitude,longitude,category,landmark,barangay,city,province
"Mrs G",16.720592378102907,120.34884151531948,food,"Bacnotan ","Barangay II (Pob.)","CITY OF SAN FERNANDO (Capital)","LA UNION"
Jollibee,14.679864535678712,120.54114879889822,food,"The Plaza Hotel",Ibayo,"CITY OF BALANGA (Capital)",BATAAN
McDonalds,14.67586393496922,120.52202438640666,food,"Calero st.Ibayo",Ibayo,"CITY OF BALANGA (Capital)",BATAAN
Chowking,14.675377907002906,120.52250525328395,food,Jollibee,Poblacion,"CITY OF BALANGA (Capital)",BATAAN
"Red Ribbon",17.121950843886847,121.62146866496778,food,PNB,"Rizal (Pob.)",ROXAS,ISABELA
"FIVE STAR CHICKEN MALAYBALAY BRANCH (CLOSED EVERY SUNDAY)",8.159289764209305,125.12352044602585,food,"Brgy. 3, Fortich St., Malaybalay City (near 2nd bus stop if from CDO, in front of Gateway)","Barangay 3 (Pob.)","CITY OF MALAYBALAY (Capital)",BUKIDNON
"NokNok (Special FryBq) Friday 9AM-5PM Sat 6PM -9PM ONLY",8.167433303918626,125.12061960250301,food,"Sayre Highway, Fortich Street fronting MCA hardware",Sumpong,"CITY OF MALAYBALAY (Capital)",BUKIDNON
Jollibee,16.22540757491666,120.50020708900936,food,ROSARIO,"Camp One",ROSARIO,"LA UNION"
"McDONALDS H-Way 2000",14.552788447646398,121.12550853745412,food,"McDONALDS H-WAY 2000","San Juan",TAYTAY,RIZAL
"Jollibee Drive thru alaminos",16.160567197926085,119.97310094379914,food,"sadsaran bypass",Poblacion,"CITY OF ALAMINOS",PANGASINAN
"Red ribbon",16.15547628118144,119.9796540829585,food,"In front of jolliber",Poblacion,"CITY OF ALAMINOS",PANGASINAN
"red ribbon",16.15547628118144,119.9796540829585,food,"infront of jollibee",Poblacion,"CITY OF ALAMINOS",PANGASINAN
"mcdonalds alaminos",16.155578478005417,119.98011761324148,food,"infront of kfc",Poblacion,"CITY OF ALAMINOS",PANGASINAN
"mang inasal ",16.15484048844055,119.98018761086274,food,"front of magic",Poblacion,"CITY OF ALAMINOS",PANGASINAN
kfc,16.155138977761297,119.98007088202694,food,"infront of mcdo",Poblacion,"CITY OF ALAMINOS",PANGASINAN
goldilocks,16.157601175449845,119.9772691359958,food,csai,Poblacion,"CITY OF ALAMINOS",PANGASINAN
"potato corner",16.156631822332923,119.97820405689399,food,"near plaza",Poblacion,"CITY OF ALAMINOS",PANGASINAN
andoks,16.15306861146213,119.97920768017524,food,"marcos hi way",Poblacion,"CITY OF ALAMINOS",PANGASINAN
"chooks to go","16.156457240733495, ",119.97805972435509,food,"near plaza",Poblacion,"CITY OF ALAMINOS",PANGASINAN
"franks burger",16.157340016262573,119.97681165319109,food,"near csi",Poblacion,"CITY OF ALAMINOS",PANGASINAN
